,GEO/TIME,GDP_capita,beds,grad
0,EU (27 countries - from 2020),27990.0,541.43,13.37
1,EU (28 countries),28630.0,541.43,13.37
2,Euro area - 19 countries  (from 2015),31260.0,541.43,13.37
3,Belgium,35900.0,566.35,14.8
4,Bulgaria,6800.0,745.4,14.87
5,Czechia,18000.0,662.74,17.13
6,Denmark,49190.0,260.83,
7,Germany,35980.0,541.43,13.37
8,Estonia,15670.0,469.49,11.46
9,Ireland,60350.0,295.73,24.88
10,Greece,18150.0,420.91,
11,Spain,25170.0,297.28,14.48
12,France,33360.0,598.02,
13,Croatia,12480.0,553.97,14.02
14,Italy,26860.0,318.07,
15,Cyprus,24250.0,339.96,0.0
16,Latvia,12490.0,556.67,17.35
17,Lithuania,13880.0,655.78,19.27
18,Luxembourg,83640.0,466.18,0.0
19,Hungary,13180.0,701.9,14.41
20,Malta,22040.0,448.51,32.91
21,Netherlands,42020.0,332.06,15.95
22,Austria,38250.0,736.62,14.41
23,Poland,12980.0,662.38,10.95
24,Portugal,18550.0,339.34,16.09
25,Romania,9130.0,689.21,23.54
26,Slovenia,20490.0,449.77,17.47
27,Slovakia,15890.0,582.05,
28,Finland,37170.0,328.09,
29,Sweden,43840.0,222.49,11.46
30,United Kingdom,32960.0,253.7,12.87
31,Iceland,38840.0,306.35,14.56
32,Norway,69890.0,359.98,11.1
33,Switzerland,59970.0,452.72,11.19
34,Montenegro,,386.1,13.37
35,North Macedonia,,428.01,
36,Serbia,5430.0,560.86,18.57
37,Turkey,,281.23,10.62
