Country;Bedsper10e5hab
Belgium;566.35
Bulgaria;745.40
Czechia;662.74
Denmark;260.83
Germany (until 1990 former territory of the FRG);800.23
Estonia;469.49
Ireland;295.73
Greece;420.91
Spain;297.28
France;598.02
Croatia;553.97
Italy;318.07
Cyprus;339.96
Latvia;556.67
Lithuania;655.78
Luxembourg;466.18
Hungary;701.90
Malta;448.51
Netherlands;332.06
Austria;736.62
Poland;662.38
Portugal;339.34
Romania;689.21
Slovenia;449.77
Slovakia;582.05
Finland;328.09
Sweden;222.49
United Kingdom;253.70
Iceland;306.35
Liechtenstein;239.71
Norway;359.98
Switzerland;452.72
Montenegro;386.10
North Macedonia;428.01
Albania;:
Serbia;560.86
Turkey;281.23
